periodo;codigo_producto;id_orden;volumen_lote;costo_transformacion;costo_insumo;equipo_id;tipo_equipo;categoria_producto;num_insumos;insumo_1;insumo_2;cantidad_insumo_1;cantidad_insumo_2;modalidad_proceso;duracion_proceso
202508;P07994;576816;4349,000;41,492011090;2,352392137;M16;A1;7;1;B_T;sin_segundo_insumo;4,00;0,00;Z;280,00
202508;P05882;572698;2900,000;8,681861892;3,527777036;M05;D4;5;1;B_T;sin_segundo_insumo;2,00;0,00;X;44,00
202508;P08398;572735;1971,000;84,181873250;18,166888340;M04;C3;5;1;B_T;sin_segundo_insumo;7,00;0,00;X;303,00
202509;P05373;579810;2750,000;32,252994750;5,095621698;M13;A1;2;1;N_O;sin_segundo_insumo;2,00;0,00;X;136,00
202509;P06833;580750;5710,000;20,731424930;2,687535920;M17;A1;3;1;B_T;sin_segundo_insumo;3,00;0,00;Y;178,00
202509;P06833;572766;5410,000;22,157029750;2,836567487;M08;A1;3;1;B_T;sin_segundo_insumo;3,00;0,00;Y;186,00
202509;P06833;572764;3774,000;23,374508740;3,388498080;M08;A1;3;1;B_T;sin_segundo_insumo;2,50;0,00;Y;143,00
202509;P08057;577564;2700,000;49,644474940;5,189985063;M14;A1;5;1;N_O;sin_segundo_insumo;2,00;0,00;X;245,00
202509;P08057;577562;5953,000;39,574607680;5,884831039;M14;A1;5;1;N_O;sin_segundo_insumo;5,00;0,00;X;427,00
202509;P08057;583901;500,000;49,828124730;4,203887899;M14;A1;5;1;N_O;sin_segundo_insumo;0,30;0,00;X;46,00
202509;P06942;580256;685,000;25,215977620;3,467901769;M09;A1;5;1;A_T;sin_segundo_insumo;0,30;0,00;Y;28,00
202509;P05953;573259;1895,000;28,257121110;1,848675418;M17;A1;3;1;N_O;sin_segundo_insumo;0,50;0,00;Y;84,00
202509;P08405;579113;1735,000;32,000103340;4,038316907;M09;A1;5;1;N_O;sin_segundo_insumo;1,00;0,00;Y;90,00
202509;P08409;577994;1425,000;44,589305790;5,565043378;M16;A1;7;2;B_T;N_T;2,00;1,00;Z;103,00
202509;P08074;574054;800,000;50,266768790;7,301989475;M15;A1;5;2;A_T;R_T;1,00;0,50;X;68,00
202509;P08070;578006;1971,000;24,412728930;2,595269763;M09;A1;5;1;B_T;sin_segundo_insumo;1,00;0,00;Y;78,00
202509;P08070;578004;1980,000;19,414681130;3,229341352;M09;A1;5;1;B_T;sin_segundo_insumo;1,25;0,00;Y;64,00
202509;P07996;576835;1925,000;32,821722690;2,657286598;M17;A1;3;1;B_T;sin_segundo_insumo;1,00;0,00;Z;96,00
202509;P07791;582316;2042,000;27,859086050;3,431185032;M08;A1;7;1;N_O;sin_segundo_insumo;1,00;0,00;X;89,00
202510;P05373;585001;2750,000;30,902483860;10,191243400;M17;A1;2;1;N_O;sin_segundo_insumo;4,00;0,00;X;136,00
202510;P06943;565773;2753,000;39,527571450;5,111765573;M15;A1;5;2;B_T;R_T;4,00;1,00;X;186,00
202510;P06943;579959;4300,000;25,287062330;3,872014282;M09;A1;5;2;B_T;R_T;5,00;1,00;X;188,00
202510;P06943;557958;2835,000;53,053492260;6,046889247;M15;A1;5;2;B_T;R_T;3,00;2,50;X;232,00
202510;P06943;580855;3300,000;23,660766740;3,483551464;M09;A1;5;2;B_T;R_T;3,00;1,00;X;135,00
202510;P07665;588349;1600,000;28,506873630;0,879659410;M17;A1;4;1;N_T;sin_segundo_insumo;0,50;0,00;Y;86,00
202510;P06833;588824;974,339;17,799934510;2,644840031;M16;A1;3;1;B_T;sin_segundo_insumo;0,50;0,00;Y;30,00
202510;P06833;582312;2100,000;20,250802660;2,454257896;M08;A1;3;1;B_T;sin_segundo_insumo;1,00;0,00;Y;69,00
202510;P06833;582314;2975,000;22,346942240;3,464834678;M08;A1;3;1;B_T;sin_segundo_insumo;2,00;0,00;Y;115,00
202510;P06833;582033;1184,000;25,275867540;3,264743402;M17;A1;3;1;B_T;sin_segundo_insumo;0,75;0,00;Y;45,00
202510;P06833;581209;4200,000;10,102103610;3,067822371;M17;A1;3;1;B_T;sin_segundo_insumo;2,50;0,00;Y;80,00
202510;P06833;561482;2975,000;7,458184944;2,771867742;M09;A1;3;1;B_T;sin_segundo_insumo;1,60;0,00;Y;40,00
202510;P00194;546078;9203,000;5,384500712;1,238768440;M12;D4;3;1;N_T;sin_segundo_insumo;4,05;0,00;X;104,00
202510;P00194;583848;4900,000;5,890822534;1,148942903;M12;D4;3;1;N_T;sin_segundo_insumo;2,00;0,00;X;69,00
202510;P07920;559108;900,000;32,181216170;3,127677903;M16;A1;5;1;N_T;sin_segundo_insumo;1,00;0,00;Y;50,10
202510;P07767;584305;1700,000;31,323297920;6,063460687;M14;A1;5;1;B_T;sin_segundo_insumo;2,00;0,00;X;98,00
202510;P07878;579804;3700,000;25,414163450;3,379508870;M15;A1;5;2;B_T;A_T;3,70;0,75;X;163,00
202510;P07878;579126;5253,000;29,322014150;4,487847166;M15;A1;5;2;B_T;A_T;5,00;2,70;X;267,00
202510;P07878;579802;2300,000;20,337387520;4,652305767;M13;A1;5;2;B_T;A_T;3,00;0,75;X;90,10
202510;P07878;579798;4300,000;17,023500430;3,639369322;M13;A1;5;2;B_T;A_T;3,00;2,00;X;141,00
202510;P07878;579800;2577,000;24,511580430;4,036327060;M13;A1;5;2;B_T;A_T;2,50;1,00;X;104,00
202510;P07878;579124;5200,000;33,936113220;3,027503798;M13;A1;5;2;A_T;B_T;3,00;1,50;X;301,00
202510;P06942;584293;1280,000;26,973373300;6,186231021;M09;A1;5;1;A_T;sin_segundo_insumo;1,00;0,00;Y;60,00
202510;P08372;585229;3220,000;25,734887530;8,003014881;M14;A1;5;1;B_T;sin_segundo_insumo;5,00;0,00;Y;153,00
202510;P07576;580655;2100,000;23,199635220;5,925601860;M13;A1;5;2;B_T;V_T;2,00;2,00;X;78,00
202510;P07576;579122;3200,000;23,032330150;7,777352441;M13;A1;5;2;B_T;V_T;4,00;4,00;X;118,00
202510;P07576;578342;7669,000;22,168127620;3,302727587;M02;B2;5;2;B_T;V_T;7,00;2,00;X;319,00
202510;P07576;584542;5947,000;16,493299160;2,727401155;M02;B2;5;1;V_T;sin_segundo_insumo;4,45;0,00;X;159,00
202510;P07576;582457;3300,000;24,747371440;3,770837547;M09;A1;5;2;B_T;V_T;2,00;2,00;X;141,00
